Commodity,Date,Unit,Min Price,Max Price,Avg Price,Year,Month,DayOfWeek,Price Range
Knolkhol,2021-01-12,Kg,50,60,55.0,2021,1,Tuesday,10
Celery,2021-01-12,Kg,220,250,235.0,2021,1,Tuesday,30
Parseley,2021-01-12,Kg,380,400,390.0,2021,1,Tuesday,20
Fennel Leaf,2021-01-12,Kg,80,90,85.0,2021,1,Tuesday,10
Mint,2021-01-12,Kg,220,250,235.0,2021,1,Tuesday,30
Turnip A,2021-01-12,Kg,70,80,75.0,2021,1,Tuesday,10
Tamarind,2021-01-12,Kg,140,150,145.0,2021,1,Tuesday,10
Bamboo Shoot,2021-01-12,Kg,80,90,85.0,2021,1,Tuesday,10
Tofu,2021-01-12,Kg,70,80,75.0,2021,1,Tuesday,10
Gundruk,2021-01-12,Kg,220,250,235.0,2021,1,Tuesday,30
Apple(Jholey),2021-01-12,Kg,190,200,195.0,2021,1,Tuesday,10
Apple(Fuji),2021-01-12,KG,280,300,290.0,2021,1,Tuesday,20
Banana,2021-01-12,Doz,90,100,95.0,2021,1,Tuesday,10
Lime,2021-01-12,Kg,100,120,110.0,2021,1,Tuesday,20
Pomegranate,2021-01-12,Kg,250,300,275.0,2021,1,Tuesday,50
Grapes(Green),2021-01-12,Kg,200,220,210.0,2021,1,Tuesday,20
Grapes(Black),2021-01-12,Kg,320,350,335.0,2021,1,Tuesday,30
Orange(Nepali),2021-01-12,Kg,100,110,105.0,2021,1,Tuesday,10
Water Melon(Green),2021-01-12,Kg,40,50,45.0,2021,1,Tuesday,10
Sweet Orange,2021-01-12,Kg,150,160,155.0,2021,1,Tuesday,10
Pineapple,2021-01-12,1 Pc,120,130,125.0,2021,1,Tuesday,10
Cucumber(Local),2021-01-12,Kg,70,80,75.0,2021,1,Tuesday,10
Cucumber(Hybrid),2021-01-12,KG,40,50,45.0,2021,1,Tuesday,10
Pear(Chinese),2021-01-12,Kg,250,260,255.0,2021,1,Tuesday,10
Papaya(Indian),2021-01-12,Kg,90,100,95.0,2021,1,Tuesday,10
Guava,2021-01-12,Kg,110,120,115.0,2021,1,Tuesday,10
Mombin,2021-01-12,Kg,30,40,35.0,2021,1,Tuesday,10
Kinnow,2021-01-12,Kg,70,80,75.0,2021,1,Tuesday,10
